20
3,298,46,335,31,39,0.2
50,298,97,335,35,39,0.2
101,298,147,335,34,39,0.2
151,296,192,335,28,41,0.2
196,289,236,335,27,48,0.2
240,289,280,335,27,48,0.2
284,292,326,335,29,45,0.2
330,298,376,335,33,39,0.2
380,298,425,335,33,39,0.2
429,298,468,335,27,39,0.2
3,349,42,386,27,39,0.2
46,350,85,386,27,38,0.2
89,345,128,386,27,43,0.2
133,341,171,386,26,47,0.2
176,340,218,386,26,48,0.2
219,341,257,386,26,47,0.2
261,345,300,386,27,43,0.2
304,349,343,386,27,39,0.2
347,349,392,386,32,39,0.2
396,349,439,386,32,39,0.2
